"","Obs_Index","Behavior","Initiator_ID","Recipient_ID","Score","Notes","Initiator_Gender","Recipient_Gender","Initiator_Age_Group","Initiator_Age","Recipient_Age_Group","Recipient_Age","Initiator_Age_cut","Recipient_Age_cut","Initiator_To_Recipient","lumped_behavior","refined_behavior","y","init_id","recp_id","init_g","recp_g","init_age_z","recp_age_z"
"1",0,"dominating","403","392","1.0",NA,"M","F","child",6,"child",3,"(3,6]","(0,3]","Older","dominating","dominating_1.0",5,1,1,0,1,0.316159365229537,-0.839287968955946
"2",0,"submitting","392","403","0.0",NA,"F","M","child",3,"child",6,"(0,3]","(3,6]","Younger","submitting_0.0","submitting_0.0",43,2,2,1,0,-1.03880934289705,0.445694726556393
"3",0,"dominating","403","391","0.5",NA,"M","M","child",6,"child",4,"(3,6]","(3,6]","Older","dominating","dominating_0.5",5,1,3,0,0,0.316159365229537,-0.410960403785166
"4",0,"submitting","391","403","0.0",NA,"M","M","child",4,"child",6,"(3,6]","(3,6]","Younger","submitting_0.0","submitting_0.0",43,3,2,0,0,-0.587153106854854,0.445694726556393
"14",1,"leading","206","231","0.5",NA,"M","M","child",5,"child",3,"(3,6]","(0,3]","Older","leading","leading_0.5",16,4,4,0,0,-0.135496870812659,-0.839287968955946
"16",1,"dominating","206","231","0.5","threaten that goose will bite him","M","M","child",5,"child",3,"(3,6]","(0,3]","Older","dominating","dominating_0.5",5,4,4,0,0,-0.135496870812659,-0.839287968955946
"18",1,"submitting","231","206","0.5",NA,"M","M","child",3,"child",5,"(0,3]","(3,6]","Younger","submitting","submitting_0.5",42,5,5,0,0,-1.03880934289705,0.0173671613856132
"22",1,"request for help","206","193","0.5",NA,"M","F","child",5,"child",5,"(3,6]","(3,6]","Same","request for help","request for help_0.5",33,4,6,0,1,-0.135496870812659,0.0173671613856132
"27",1,"leading","206","193","0.5",NA,"M","F","child",5,"child",5,"(3,6]","(3,6]","Same","leading","leading_0.5",16,4,6,0,1,-0.135496870812659,0.0173671613856132
"28",1,"following","193","206","0.5",NA,"F","M","child",5,"child",5,"(3,6]","(3,6]","Same","following","following_0.5",6,6,5,1,0,-0.135496870812659,0.0173671613856132
"29",1,"dominating","539","206","0.5",NA,"F","M","child",2,"child",5,"(0,3]","(3,6]","Younger","dominating","dominating_0.5",5,7,5,1,0,-1.49046557893925,0.0173671613856132
"30",1,"submitting","206","539","0.0",NA,"M","F","child",5,"child",2,"(3,6]","(0,3]","Older","submitting_0.0","submitting_0.0",43,4,7,0,1,-0.135496870812659,-1.26761553412673
"33",1,"teasing","206","195","0.5",NA,"M","F","child",5,"child",0,"(3,6]",NA,"Older","teasing_0.5","teasing_0.5",49,4,8,0,1,-0.135496870812659,-2.12427066446828
"34",1,"teasing","206","194","1.0",NA,"M","M","child",5,"child",3,"(3,6]","(0,3]","Older","teasing_1.0","teasing_1.0",50,4,9,0,0,-0.135496870812659,-0.839287968955946
"35",1,"tattling","194","206","0.5","second-party, to mom","M","M","child",3,"child",5,"(0,3]","(3,6]","Younger","tattling","tattling_0.5",47,8,5,0,0,-1.03880934289705,0.0173671613856132
"36",2,"request for help","289","294","0.5",NA,"F","M","child",1,"child",5,"(0,3]","(3,6]","Younger","request for help","request for help_0.5",33,9,10,1,0,-1.94212181498144,0.0173671613856132
"37",2,"helping","294","289","0.5",NA,"M","F","child",5,"child",1,"(3,6]","(0,3]","Older","helping","helping_0.5",14,10,11,0,1,-0.135496870812659,-1.6959430992975
"38",2,"leading","283","289","0.5",NA,"M","F","child",4,"child",1,"(3,6]","(0,3]","Older","leading","leading_0.5",16,11,11,0,1,-0.587153106854854,-1.6959430992975
"39",2,"following","289","283","0.5",NA,"F","M","child",1,"child",4,"(0,3]","(3,6]","Younger","following","following_0.5",6,9,12,1,0,-1.94212181498144,-0.410960403785166
"40",2,"leading","294","284","1.0",NA,"M","M","child",5,"child",2,"(3,6]","(0,3]","Older","leading","leading_1.0",16,10,13,0,0,-0.135496870812659,-1.26761553412673
"41",2,"following","284","294","1.0",NA,"M","M","child",2,"child",5,"(0,3]","(3,6]","Younger","following","following_1.0",6,12,10,0,0,-1.49046557893925,0.0173671613856132
"42",2,"leading","294","275","1.0",NA,"M","F","child",5,"child",3,"(3,6]","(0,3]","Older","leading","leading_1.0",16,10,14,0,1,-0.135496870812659,-0.839287968955946
"43",2,"following","275","294","1.0",NA,"F","M","child",3,"child",5,"(0,3]","(3,6]","Younger","following","following_1.0",6,13,10,1,0,-1.03880934289705,0.0173671613856132
"47",3,"dominating","337","357","0.5",NA,"M","M","child",5,"child",5,"(3,6]","(3,6]","Same","dominating","dominating_0.5",5,14,15,0,0,-0.135496870812659,0.0173671613856132
"48",3,"submitting","357","337","0.0",NA,"M","M","child",5,"child",5,"(3,6]","(3,6]","Same","submitting_0.0","submitting_0.0",43,15,16,0,0,-0.135496870812659,0.0173671613856132
"49",3,"teasing","337","357","0.5",NA,"M","M","child",5,"child",5,"(3,6]","(3,6]","Same","teasing_0.5","teasing_0.5",49,14,15,0,0,-0.135496870812659,0.0173671613856132
"50",4,"scolding","172","165","1.0","clear word ""scolding""","F","F","child",7,"child",4,"(6,9]","(3,6]","Older","scolding","scolding_1.0",38,16,17,1,1,0.767815601271733,-0.410960403785166
"51",4,"dominating","172","165","0.5",NA,"F","F","child",7,"child",4,"(6,9]","(3,6]","Older","dominating","dominating_0.5",5,16,17,1,1,0.767815601271733,-0.410960403785166
"52",4,"submitting","165","172","1.0","gave in and left","F","F","child",4,"child",7,"(3,6]","(6,9]","Younger","submitting","submitting_1.0",42,17,18,1,1,-0.587153106854854,0.874022291727172
"53",4,"dominating","172","49","0.5",NA,"F","M","child",7,"child",6,"(6,9]","(3,6]","Older","dominating","dominating_0.5",5,16,19,1,0,0.767815601271733,0.445694726556393
"54",4,"submitting","49","172","0.0","49 ignored 172's request","M","F","child",6,"child",7,"(3,6]","(6,9]","Younger","submitting_0.0","submitting_0.0",43,18,18,0,1,0.316159365229537,0.874022291727172
"55",4,"dominating","172","206","1.0","172 requested several times","F","M","child",7,"child",5,"(6,9]","(3,6]","Older","dominating","dominating_1.0",5,16,5,1,0,0.767815601271733,0.0173671613856132
"56",4,"submitting","206","172","0.5","206 ignored once and listened a couple of times","M","F","child",5,"child",7,"(3,6]","(6,9]","Younger","submitting","submitting_0.5",42,4,18,0,1,-0.135496870812659,0.874022291727172
"57",4,"leading","138","50","0.5",NA,"F","F","child",6,"child",4,"(3,6]","(3,6]","Older","leading","leading_0.5",16,19,20,1,1,0.316159365229537,-0.410960403785166
"58",4,"physical aggression","172","50","0.5",NA,"F","F","child",7,"child",4,"(6,9]","(3,6]","Older","Z","physical aggression_0.5",52,16,20,1,1,0.767815601271733,-0.410960403785166
"59",4,"dominating","172","50","1.0","physical dominance","F","F","child",7,"child",4,"(6,9]","(3,6]","Older","dominating","dominating_1.0",5,16,20,1,1,0.767815601271733,-0.410960403785166
"60",4,"submitting","50","172","1.0","physical submission","F","F","child",4,"child",7,"(3,6]","(6,9]","Younger","submitting","submitting_1.0",42,20,18,1,1,-0.587153106854854,0.874022291727172
"63",4,"teasing","131","172","0.5","clearly teasing","M","F","child",7,"child",7,"(6,9]","(6,9]","Same","teasing_0.5","teasing_0.5",49,21,18,0,1,0.767815601271733,0.874022291727172
"66",4,"following","49","138","0.5",NA,"M","F","child",6,"child",6,"(3,6]","(3,6]","Same","following","following_0.5",6,18,21,0,1,0.316159365229537,0.445694726556393
