"","Behavior","Initiator_ID","Recipient_ID","Initiator_Gender","Recipient_Gender","Date_Obs","Init_Age_At_Obs","Recp_Age_At_Obs","Init_House","Recp_House","same_household","y","init_id","recp_id","init_house_id","recp_house_id","init_g","recp_g","init_age_z","recp_age_z"
"1","(2) Dominating","403","392","M","F",0059-07-07,6.08333333333333,3.91666666666667,"110a","109a",0,2,1,1,1,1,0,1,-0.199670009943292,-0.819307485746977
"3","(2) Dominating","403","391","M","M",0059-07-07,6.08333333333333,4.75,"110a","109a",0,2,1,2,1,1,0,0,-0.199670009943292,-0.457558872831944
"5","(4) Leading","206","231","M","M",0059-07-08,5.0027397260274,3.66940639269406,"18c","20",0,4,2,3,2,2,0,0,-0.692678330941442,-0.926642759113273
"6","(2) Dominating","206","231","M","M",0059-07-08,5.0027397260274,3.66940639269406,"18c","20",0,2,2,3,2,2,0,0,-0.692678330941442,-0.926642759113273
"8","(9) Requesting for Help","206","193","M","F",0059-07-08,5.0027397260274,5.5027397260274,"18c","18a",0,9,2,4,2,3,0,1,-0.692678330941442,-0.130795810700202
"9","(4) Leading","206","193","M","F",0059-07-08,5.0027397260274,5.5027397260274,"18c","18a",0,4,2,4,2,3,0,1,-0.692678330941442,-0.130795810700202
"11","(2) Dominating","539","206","F","M",0059-07-08,2.83607305936073,5.0027397260274,"18c","18c",1,2,3,5,2,4,1,0,-1.68119490949045,-0.347844978449221
"13","(17) Playful Teasing","206","195","M","F",0059-07-08,5.0027397260274,0.836073059360731,"18c","18a",0,17,2,6,2,3,0,1,-0.692678330941442,-2.15658804302438
"14","(16) Aggressive Teasing","206","194","M","M",0059-07-08,5.0027397260274,3.91940639269406,"18c","18a",0,16,2,7,2,3,0,0,-0.692678330941442,-0.818118175238763
"15","(15) Tattling","194","206","M","M",0059-07-08,3.91940639269406,5.0027397260274,"18a","18c",0,15,4,5,3,4,0,0,-1.18693662021595,-0.347844978449221
