"","mean","sd","2.5%","97.5%","n_eff","Rhat4","combined"
"a[1]",-1.90321859433333,0.348760546594134,-2.61821475,-1.2584475,7612.67027973227,1.00025146403386,"-1.903 (0.349)"
"a[2]",1.85014430133333,0.145423384982558,1.55654775,2.12879275,2183.07974768505,1.00245070157872,"1.85 (0.145)"
"a[3]",0.808063087133333,0.173548198461505,0.459185275,1.13830175,2829.05784371243,1.00188224530767,"0.808 (0.174)"
"a[4]",2.51994206133333,0.139912056127534,2.2412735,2.79172375,2022.91366810943,1.00218439873437,"2.52 (0.14)"
"a[5]",-1.05837516324,0.282510949900361,-1.631494,-0.539981825,6499.41320860535,1.00034196949662,"-1.058 (0.283)"
"a[6]",1.65544000066667,0.153752080601769,1.34567775,1.9521935,2183.84346966237,1.0022283979345,"1.655 (0.154)"
"a[7]",0.505964345483047,0.206990796594837,0.091711775,0.903167325,3575.32259937443,1.00127318766151,"0.506 (0.207)"
"a[8]",-3.77093228,0.531944000419355,-4.8530975,-2.7796425,10584.8157611648,1.00020222751911,"-3.771 (0.532)"
"a[9]",-0.268717774737227,0.22337521155109,-0.72547585,0.15028905,3980.26376005652,1.00097181326857,"-0.269 (0.223)"
"a[10]",0.947221903133333,0.16672161197604,0.61220055,1.26780225,2512.19135668651,1.00246322637792,"0.947 (0.167)"
"a[11]",1.566859114,0.146096051655029,1.27721675,1.84445,2038.97473194747,1.00239308664898,"1.567 (0.146)"
"a[12]",0.630103228176,0.184724972849285,0.25484735,0.987002125,2970.59804365407,1.00152949662118,"0.63 (0.185)"
"a[13]",0.083919223201144,0.221435666907062,-0.364321,0.5018637,3649.74247855067,1.00057777647145,"0.084 (0.221)"
"a[14]",0.860793511333333,0.174333873242625,0.5130454,1.194063,2754.11703484783,1.00212429238172,"0.861 (0.174)"
"a[15]",0.517137540990467,0.188750725918022,0.13731365,0.88049445,3094.21019031967,1.00163205896089,"0.517 (0.189)"
"a[16]",1.396684232,0.158620764806655,1.0788765,1.704482,2547.89313600498,1.00171690417479,"1.397 (0.159)"
"a[17]",2.0575185,0.147371337037573,1.76348675,2.34085175,2192.91713901421,1.00201609988536,"2.058 (0.147)"
"a[18]",1.14554602593333,0.181513683713325,0.7828441,1.49585025,2848.04018424066,1.00106834358067,"1.146 (0.182)"
"bA[1]",0.692151289416,0.22150272564187,0.26290695,1.12598075,4216.49444604589,1.00000775275327,"0.692 (0.222)"
"bA[2]",0.514563595218667,0.130011861518474,0.25754485,0.770870525,1693.06296278202,1.0007727749765,"0.515 (0.13)"
"bA[3]",0.398912104010133,0.146470968898241,0.114151175,0.684975275,2169.85129681269,1.00079137505608,"0.399 (0.146)"
"bA[4]",0.612844669,0.125065798347782,0.36406325,0.856935775,1631.85733392706,1.00096808413116,"0.613 (0.125)"
