,mean,sd,2.50%,97.50%,n_eff,Rhat4,combined,
a[1],-1.903218594,0.348760547,-2.61821475,-1.2584475,7612.67028,1.000251464,-1.9 (0.35),1
a[2],1.850144301,0.145423385,1.55654775,2.12879275,2183.079748,1.002450702,1.85 (0.15),1
a[3],0.808063087,0.173548198,0.459185275,1.13830175,2829.057844,1.001882245,0.81 (0.17),1
a[4],2.519942061,0.139912056,2.2412735,2.79172375,2022.913668,1.002184399,2.52 (0.14),1
a[5],-1.058375163,0.28251095,-1.631494,-0.539981825,6499.413209,1.000341969,-1.06 (0.28),1
a[6],1.655440001,0.153752081,1.34567775,1.9521935,2183.84347,1.002228398,1.66 (0.15),1
a[7],0.505964345,0.206990797,0.091711775,0.903167325,3575.322599,1.001273188,0.51 (0.21),1
a[8],-3.77093228,0.531944,-4.8530975,-2.7796425,10584.81576,1.000202228,-3.77 (0.53),1
a[9],-0.268717775,0.223375212,-0.72547585,0.15028905,3980.26376,1.000971813,-0.27 (0.22),0
a[10],0.947221903,0.166721612,0.61220055,1.26780225,2512.191357,1.002463226,0.95 (0.17),1
a[11],1.566859114,0.146096052,1.27721675,1.84445,2038.974732,1.002393087,1.57 (0.15),1
a[12],0.630103228,0.184724973,0.25484735,0.987002125,2970.598044,1.001529497,0.63 (0.18),1
a[13],0.083919223,0.221435667,-0.364321,0.5018637,3649.742479,1.000577776,0.08 (0.22),0
a[14],0.860793511,0.174333873,0.5130454,1.194063,2754.117035,1.002124292,0.86 (0.17),1
a[15],0.517137541,0.188750726,0.13731365,0.88049445,3094.21019,1.001632059,0.52 (0.19),1
a[16],1.396684232,0.158620765,1.0788765,1.704482,2547.893136,1.001716904,1.4 (0.16),1
a[17],2.0575185,0.147371337,1.76348675,2.34085175,2192.917139,1.0020161,2.06 (0.15),1
a[18],1.145546026,0.181513684,0.7828441,1.49585025,2848.040184,1.001068344,1.15 (0.18),1
bA[1],0.692151289,0.221502726,0.26290695,1.12598075,4216.494446,1.000007753,0.69 (0.22),1
bA[2],0.514563595,0.130011862,0.25754485,0.770870525,1693.062963,1.000772775,0.51 (0.13),1
bA[3],0.398912104,0.146470969,0.114151175,0.684975275,2169.851297,1.000791375,0.4 (0.15),1
bA[4],0.612844669,0.125065798,0.36406325,0.856935775,1631.857334,1.000968084,0.61 (0.13),1
bA[5],0.181598411,0.262387002,-0.332221525,0.70109545,5631.643625,1.000047474,0.18 (0.26),0
bA[6],0.092024734,0.134367247,-0.176021925,0.3522832,1883.594279,1.000714171,0.09 (0.13),0
bA[7],-0.02543346,0.158390279,-0.337896875,0.27856265,2524.784263,1.000570673,-0.03 (0.16),0
bA[8],-1.344304357,0.323489218,-1.985703,-0.7155375,6642.507432,1.000049033,-1.34 (0.32),1
bA[9],-0.12717479,0.169901412,-0.46550705,0.2038995,2722.245741,1.000543537,-0.13 (0.17),0
bA[10],0.2300618,0.142405984,-0.05080854,0.505727275,1996.317552,1.000506776,0.23 (0.14),0
bA[11],0.502027164,0.132603808,0.2369427,0.75804005,1767.487106,1.000881965,0.5 (0.13),1
bA[12],0.113956446,0.151075038,-0.1854617,0.407232275,2272.328549,1.000720085,0.11 (0.15),0
bA[13],0.440261055,0.166678264,0.11598795,0.772556625,2618.741227,1.000348562,0.44 (0.17),1
bA[14],0.186369319,0.147177748,-0.1070312,0.4704068,2129.668342,1.00117657,0.19 (0.15),0
bA[15],0.050537166,0.154563959,-0.25935375,0.347996375,2386.232197,1.000470295,0.05 (0.15),0
bA[16],0.282429616,0.139249582,0.006882266,0.552370725,1958.670881,1.000510521,0.28 (0.14),1
bA[17],0.481363902,0.13119463,0.218032375,0.73714135,1755.518148,1.000717504,0.48 (0.13),1
bA[18],0.405632966,0.151273231,0.108482275,0.699930325,2286.915811,1.000865929,0.41 (0.15),1
bB[1],-1.29850308,0.260970551,-1.820988,-0.7959225,4971.977957,1.000867599,-1.3 (0.26),1
bB[2],-0.413783153,0.128322238,-0.660658425,-0.163256875,1860.777708,1.002078778,-0.41 (0.13),1
bB[3],-0.109332905,0.140737193,-0.383141275,0.1688056,2226.908283,1.001145006,-0.11 (0.14),0
bB[4],-0.125904443,0.123754799,-0.366221025,0.1185823,1710.017823,1.002076145,-0.13 (0.12),0
bB[5],0.046936225,0.214994828,-0.370356025,0.4712567,4805.593691,1.000389661,0.05 (0.21),0
bB[6],-0.357702804,0.13304469,-0.6199972,-0.095212415,1991.6637,1.001668121,-0.36 (0.13),1
bB[7],0.311924656,0.165677482,-0.005382515,0.643461475,2742.814677,1.000839442,0.31 (0.17),0
bB[8],0.235042654,0.311536248,-0.372477,0.853193175,7685.724647,1.000033243,0.24 (0.31),0
bB[9],0.449915097,0.173491241,0.111358425,0.79766715,2895.325711,1.000767457,0.45 (0.17),1
bB[10],0.041314207,0.143020602,-0.232599175,0.323180875,2143.643992,1.001594089,0.04 (0.14),0
bB[11],-0.026025736,0.129261897,-0.27328405,0.232554575,1890.370697,1.001788456,-0.03 (0.13),0
bB[12],0.076609221,0.152784642,-0.22240985,0.37864465,2466.134729,1.001001123,0.08 (0.15),0
bB[13],0.365414173,0.181907976,0.009415357,0.728810775,3203.772022,1.000880307,0.37 (0.18),1
bB[14],-0.046494891,0.143530597,-0.329476325,0.2322009,2290.883535,1.001418813,-0.05 (0.14),0
bB[15],0.120634381,0.147529257,-0.168534675,0.413879825,2354.633719,1.00142241,0.12 (0.15),0
bB[16],-0.276923463,0.138763388,-0.548351925,-0.001144744,2162.352995,1.001303993,-0.28 (0.14),1
bB[17],-0.058201076,0.127842526,-0.30411125,0.19434775,1770.709709,1.001736183,-0.06 (0.13),0
bB[18],0.043331331,0.144403984,-0.235799925,0.3247492,2228.060984,1.001345136,0.04 (0.14),0
bI[1],0.417528741,0.309707121,-0.1945382,1.024464,4560.327975,0.99997095,0.42 (0.31),0
bI[2],-0.082963955,0.192404773,-0.458338425,0.293521075,2167.827577,1.000105297,-0.08 (0.19),0
bI[3],0.368877794,0.216026053,-0.051285325,0.793485575,2687.804185,1.000183826,0.37 (0.22),0
bI[4],0.233249644,0.181136099,-0.119683025,0.58511485,1985.622689,1.000219125,0.23 (0.18),0
bI[5],1.466427082,0.332814554,0.819168875,2.13057225,6305.723447,0.999896626,1.47 (0.33),1
bI[6],-0.360243865,0.211312103,-0.7715457,0.049956738,2505.526404,0.999983833,-0.36 (0.21),0
bI[7],0.163848674,0.238553348,-0.302389425,0.6345155,3097.104166,1.000190115,0.16 (0.24),0
bI[8],-1.393824494,0.663398333,-2.7267585,-0.109882675,12132.13097,0.999945227,-1.39 (0.66),1
bI[9],-0.154470658,0.272491997,-0.691533025,0.375866675,4460.653936,0.999906102,-0.15 (0.27),0
bI[10],-0.054732907,0.214903901,-0.4800427,0.363614725,2788.937296,0.999935511,-0.05 (0.21),0
bI[11],0.532130361,0.190455938,0.15865335,0.902985925,2173.603506,1.000144285,0.53 (0.19),1
bI[12],0.301225656,0.224095524,-0.13828265,0.742287775,2786.289194,1.000482994,0.3 (0.22),0
bI[13],0.149445469,0.247183074,-0.33423345,0.63690605,3377.550928,0.999862655,0.15 (0.25),0
bI[14],-0.133171686,0.22406005,-0.5678548,0.30504675,2838.939845,1.000266918,-0.13 (0.22),0
bI[15],0.740495686,0.230575195,0.30096855,1.194677,2946.970851,1.000033866,0.74 (0.23),1
bI[16],-0.44056031,0.216671871,-0.8701554,-0.018595348,2711.565495,1.000090847,-0.44 (0.22),1
bI[17],-0.103969975,0.194146338,-0.4825682,0.281195275,2212.495689,1.000355622,-0.1 (0.19),0
bI[18],-0.716136555,0.251961653,-1.21033175,-0.222989825,3520.891727,1.000046706,-0.72 (0.25),1
bR[1],-0.656148243,0.489732733,-1.6363815,0.2872407,8416.888413,1.000143284,-0.66 (0.49),0
bR[2],0.286026102,0.188454118,-0.07982292,0.6656842,2073.701535,1.002064091,0.29 (0.19),0
bR[3],0.290809608,0.205718015,-0.110557075,0.700047625,2551.274435,1.00149705,0.29 (0.21),0
bR[4],0.29200784,0.177784574,-0.050480715,0.649252425,1890.958741,1.001571654,0.29 (0.18),0
bR[5],-0.071956857,0.304105831,-0.6703248,0.523980125,5156.099616,1.000910483,-0.07 (0.3),0
bR[6],0.001781344,0.199320333,-0.382692275,0.392514975,2147.295469,1.002396439,0 (0.2),0
bR[7],0.485401345,0.245046283,0.007475624,0.97242275,3110.543708,1.000705889,0.49 (0.25),1
bR[8],0.631585105,0.440002655,-0.232990725,1.4817055,10268.75187,1.000424202,0.63 (0.44),0
bR[9],0.432576624,0.255138808,-0.063392675,0.944544525,3987.125639,1.000687016,0.43 (0.26),0
bR[10],0.353591498,0.211030111,-0.05524481,0.774262475,2448.126034,1.001328833,0.35 (0.21),0
bR[11],0.194727453,0.188603183,-0.1730469,0.5690773,2036.669183,1.001649308,0.19 (0.19),0
