"","mean","sd","2.5%","97.5%","n_eff","Rhat4","combined"
"a[1]",-1.68332142033333,0.360869026861039,-2.444893,-1.02976325,4433.00002003248,1.00019734017953,"-1.683 (0.361)"
"a[2]",1.672272434,0.125684704004281,1.423908,1.918655,3474.54348507444,1.00039564915961,"1.672 (0.126)"
"a[3]",1.13628585433333,0.126278698615715,0.889569175,1.38147375,3673.09587190017,1.00064501798767,"1.136 (0.126)"
"a[4]",2.45503541,0.114816342994627,2.2323795,2.67932025,3148.14927661184,1.00073408101091,"2.455 (0.115)"
"a[5]",-0.731980827646667,0.24476502566733,-1.247982,-0.292913175,3846.9590303117,1.00032998260843,"-0.732 (0.245)"
"a[6]",1.4261692694,0.12367343888991,1.181439,1.673257,3853.43949772281,1.00057260682971,"1.426 (0.124)"
"a[7]",0.555583406468667,0.171942494010904,0.2090285,0.8800657,5294.75755651086,1.00008333593355,"0.556 (0.172)"
"a[8]",-2.65702692733333,0.483327294338535,-3.66743125,-1.77569225,9924.50998478124,1.00038998853088,"-2.657 (0.483)"
"a[9]",0.0947386743845467,0.190071668037287,-0.295091975,0.4558637,5156.5316723311,1.00024218076994,"0.095 (0.19)"
"a[10]",1.04420270766667,0.125020464944,0.793700375,1.29111575,3936.98317480845,1.00049574008674,"1.044 (0.125)"
"a[11]",1.534757814,0.126094211708402,1.28427875,1.7800745,3611.45252812823,1.00050161210762,"1.535 (0.126)"
"a[12]",0.9196502822,0.135276923461739,0.6505169,1.1793125,4463.52670704386,1.00048867121849,"0.92 (0.135)"
"a[13]",0.184085057292813,0.176138485765294,-0.17924415,0.512963975,5070.35642024812,0.999972743708955,"0.184 (0.176)"
"a[14]",0.9655758904,0.128018871779487,0.7092096,1.21147175,4023.24996049897,1.00041912691382,"0.966 (0.128)"
"a[15]",0.768460049466667,0.147335708853483,0.471473275,1.04881275,4219.6856524858,1.0006157346613,"0.768 (0.147)"
"a[16]",1.16316466306667,0.127896787766682,0.91403905,1.412125,3927.48996668399,1.00055541497482,"1.163 (0.128)"
"a[17]",1.93396895933333,0.11623322072341,1.70665025,2.160994,3451.2039271956,1.00040810096596,"1.934 (0.116)"
"a[18]",0.7276690828,0.155481717292125,0.4097658,1.024912,4545.10924630345,1.0006724399441,"0.728 (0.155)"
"z_init_id[1,1]",-0.0178574006939733,0.873036791739413,-1.7790025,1.6346435,6843.56358885341,1.00012745388555,"-0.018 (0.873)"
"z_init_id[1,2]",-0.304365374579333,0.868171835595267,-1.996721,1.3977045,13249.6647988811,1.00016528088947,"-0.304 (0.868)"
"z_init_id[1,3]",-0.558807640277093,0.921585599263189,-2.336456,1.2531565,9474.40859762083,1.00010113605925,"-0.559 (0.922)"
"z_init_id[1,4]",-0.166668692923283,0.889819446877808,-1.91465475,1.564586,11611.4247269917,0.999887801077924,"-0.167 (0.89)"
"z_init_id[1,5]",-0.408751143213853,0.983919236752075,-2.3290615,1.5242215,12973.7198456265,1.00010265715802,"-0.409 (0.984)"
"z_init_id[1,6]",-0.38756367813,0.977447203507049,-2.26943325,1.52171625,13079.1719517944,0.999819738270942,"-0.388 (0.977)"
