"","mean","sd","2.5%","97.5%","n_eff","Rhat4","combined"
"a[1]",-1.95964438986667,0.363947054179291,-2.707186,-1.28164175,7053.32253751099,0.999983707350657,"-1.96 (0.364)"
"a[2]",1.85421946466667,0.15025508992023,1.5583585,2.145831,2531.1950722501,1.00128768247502,"1.854 (0.15)"
"a[3]",0.798476685333333,0.177012649742571,0.448770675,1.13806075,3449.76503853404,1.00089962030967,"0.798 (0.177)"
"a[4]",2.54687380066667,0.144363931688631,2.2620875,2.83307025,2293.48237551432,1.0011900121254,"2.547 (0.144)"
"a[5]",-1.17048214306667,0.304953132718224,-1.79890725,-0.60575255,6554.64819967708,1.00079509533117,"-1.17 (0.305)"
"a[6]",1.65046250533333,0.159594994655298,1.33645875,1.962891,2845.53777536391,1.00049499022218,"1.65 (0.16)"
"a[7]",0.480404796923333,0.218732808914945,0.04208583,0.899016575,4145.3502180617,1.00002029160261,"0.48 (0.219)"
"a[8]",-3.82514616066667,0.534023145939524,-4.90706325,-2.8144455,12094.2233396292,1.00010019336738,"-3.825 (0.534)"
"a[9]",-0.302422269564593,0.236772473631998,-0.777515625,0.152082175,4765.62341728686,1.00034427728834,"-0.302 (0.237)"
"a[10]",0.938677488466667,0.170067604603746,0.600951175,1.265639,3100.11299131036,1.00064665930617,"0.939 (0.17)"
"a[11]",1.5515434308,0.153657734612643,1.24592925,1.852302,2705.20231293402,1.00123738035384,"1.552 (0.154)"
"a[12]",0.634187840930267,0.188593959185301,0.259165775,1.00817225,3089.17563971879,1.00084386987157,"0.634 (0.189)"
"a[13]",0.0635027459143187,0.229626522805786,-0.3979063,0.4941845,4290.23556720107,1.00052005459134,"0.064 (0.23)"
"a[14]",0.819502179973333,0.183692300912972,0.450669325,1.16869425,3126.06967530049,1.00083025475042,"0.82 (0.184)"
"a[15]",0.520284957524847,0.192240797872295,0.1372787,0.892487825,3408.10485183191,1.00103715260801,"0.52 (0.192)"
"a[16]",1.39147454673333,0.164928557313378,1.06741575,1.7157215,2881.75549855,1.00032107986505,"1.391 (0.165)"
"a[17]",2.06198959333333,0.150486129184187,1.765169,2.35580775,2479.99835314064,1.00084419082202,"2.062 (0.15)"
"a[18]",1.13360955493333,0.185163610357834,0.767493825,1.49526275,3463.85783734904,1.00035319084127,"1.134 (0.185)"
"bA[1]",0.703496467982,0.224609897464781,0.2604166,1.145026,4494.6156578557,1.00038474276021,"0.703 (0.225)"
