,mean,sd,2.50%,97.50%,n_eff,Rhat4,combined,
a[1],-1.95964439,0.363947054,-2.707186,-1.28164175,7053.322538,0.999983707,-1.96 (0.36),1
a[2],1.854219465,0.15025509,1.5583585,2.145831,2531.195072,1.001287682,1.85 (0.15),1
a[3],0.798476685,0.17701265,0.448770675,1.13806075,3449.765039,1.00089962,0.8 (0.18),1
a[4],2.546873801,0.144363932,2.2620875,2.83307025,2293.482376,1.001190012,2.55 (0.14),1
a[5],-1.170482143,0.304953133,-1.79890725,-0.60575255,6554.6482,1.000795095,-1.17 (0.3),1
a[6],1.650462505,0.159594995,1.33645875,1.962891,2845.537775,1.00049499,1.65 (0.16),1
a[7],0.480404797,0.218732809,0.04208583,0.899016575,4145.350218,1.000020292,0.48 (0.22),1
a[8],-3.825146161,0.534023146,-4.90706325,-2.8144455,12094.22334,1.000100193,-3.83 (0.53),1
a[9],-0.30242227,0.236772474,-0.777515625,0.152082175,4765.623417,1.000344277,-0.3 (0.24),0
a[10],0.938677488,0.170067605,0.600951175,1.265639,3100.112991,1.000646659,0.94 (0.17),1
a[11],1.551543431,0.153657735,1.24592925,1.852302,2705.202313,1.00123738,1.55 (0.15),1
a[12],0.634187841,0.188593959,0.259165775,1.00817225,3089.17564,1.00084387,0.63 (0.19),1
a[13],0.063502746,0.229626523,-0.3979063,0.4941845,4290.235567,1.000520055,0.06 (0.23),0
a[14],0.81950218,0.183692301,0.450669325,1.16869425,3126.069675,1.000830255,0.82 (0.18),1
a[15],0.520284958,0.192240798,0.1372787,0.892487825,3408.104852,1.001037153,0.52 (0.19),1
a[16],1.391474547,0.164928557,1.06741575,1.7157215,2881.755499,1.00032108,1.39 (0.16),1
a[17],2.061989593,0.150486129,1.765169,2.35580775,2479.998353,1.000844191,2.06 (0.15),1
a[18],1.133609555,0.18516361,0.767493825,1.49526275,3463.857837,1.000353191,1.13 (0.19),1
bA[1],0.703496468,0.224609897,0.2604166,1.145026,4494.615658,1.000384743,0.7 (0.22),1
bA[2],0.520130038,0.129711731,0.26467585,0.771051075,2050.67207,1.000271864,0.52 (0.13),1
bA[3],0.390585174,0.14703903,0.103792075,0.6772422,2503.25643,1.000192275,0.39 (0.15),1
bA[4],0.616906506,0.123813315,0.37168925,0.858162825,1908.558732,1.000298627,0.62 (0.12),1
bA[5],0.174304254,0.264563828,-0.34081825,0.6906784,6138.319676,1.000029647,0.17 (0.26),0
bA[6],0.088743793,0.134461595,-0.1761842,0.3456969,2321.18775,1.000430848,0.09 (0.13),0
bA[7],-0.046549,0.155579423,-0.356827225,0.2587958,2723.595607,1.000061483,-0.05 (0.16),0
bA[8],-1.361620983,0.326022102,-2.0102145,-0.736097525,8461.06212,0.999948674,-1.36 (0.33),1
